data,close,volume
2000/1/4,32.81,35125 
2000/1/5,33.55,70449 
2000/1/6,32.81,34579 
2000/1/7,31.89,41182 
2000/1/10,32.99,48342 
2000/1/11,32.44,48622 
2000/1/12,33.36,37852 
2000/1/13,32.81,25817 
2000/1/14,33.55,50468 
2000/1/15,34.65,47479 
2000/1/17,34.47,27177 
2000/1/18,33.92,23044 
2000/1/19,33.92,23604 
2000/1/20,33.55,22013 
2000/1/21,34.28,19849 
2000/1/24,34.65,30652 
2000/1/25,35.57,39156 
2000/1/26,37.97,62645 
2000/1/27,38.34,50400 
2000/1/28,37.6,34642 
2000/1/29,36.86,25714 
2000/1/31,37.42,29418 
2000/2/1,37.23,26796 
2000/2/9,38.89,44213 
2000/2/10,39.45,31077 
2000/2/11,40.37,37639 
2000/2/14,39.45,24559 
2000/2/15,39.63,18398 
2000/2/16,39.26,13890 
2000/2/17,38.89,20375 
2000/2/18,38.34,21321 
2000/2/19,37.79,15672 
2000/2/21,35.94,26940 
2000/2/22,35.94,29432 
2000/2/23,35.76,12934 
2000/2/24,35.94,14593 
2000/2/25,36.68,29021 
2000/2/29,37.05,17285 
2000/3/1,37.97,15842 
2000/3/2,37.42,12033 
2000/3/3,37.42,10175 
2000/3/4,37.6,11936 
2000/3/6,36.86,12658 
2000/3/7,36.68,14657 
2000/3/8,36.5,11346 
2000/3/9,36.86,12585 
2000/3/10,35.94,17500 
2000/3/13,33.55,40641 
2000/3/14,34.28,25465 
2000/3/15,33.73,26992 
2000/3/16,33.92,40862 
2000/3/17,35.02,46864 
2000/3/20,33.92,3709 
2000/3/21,35.94,78356 
2000/3/22,35.39,43281 
2000/3/23,37.05,49041 
2000/3/24,36.5,33181 
2000/3/27,38.89,45128 
2000/3/28,38.52,31819 
2000/3/29,37.6,18498 
2000/3/30,38.34,39878 
2000/3/31,37.79,22235 
2000/4/1,38.71,17769 
2000/4/5,38.34,32134 
2000/4/6,37.23,25787 
2000/4/7,36.86,19459 
2000/4/8,36.86,17426 
2000/4/10,38.71,35636 
2000/4/11,37.79,20759 
2000/4/12,36.86,22681 
2000/4/13,35.39,43879 
2000/4/14,34.28,42135 
2000/4/15,32.44,60349 
2000/4/17,32.99,36638 
2000/4/18,34.84,38334 
2000/4/19,33.73,25673 
2000/4/20,34.28,16799 
2000/4/21,34.28,12462 
2000/4/24,33.18,14244 
2000/4/25,34.47,22906 
2000/4/26,34.1,39360 
2000/4/27,34.65,18692 
2000/4/28,36.31,41902 
2000/4/29,35.94,19772 
2000/5/2,35.57,14964 
2000/5/3,34.65,13337 
2000/5/4,34.47,19705 
2000/5/5,35.39,19526 
2000/5/6,35.02,11050 
2000/5/8,35.57,14605 
2000/5/9,35.57,13523 
2000/5/10,34.65,16876 
2000/5/11,32.99,29310 
2000/5/12,34.1,38309 
2000/5/15,33.81,38971 
2000/5/16,35.85,30785 
2000/5/17,38.13,47775 
2000/5/18,39.08,36662 
2000/5/19,38.85,24316 
2000/5/20,38.37,27040 
2000/5/22,37.89,30913 
2000/5/23,36.69,22639 
2000/5/24,35.61,24773 
2000/5/25,34.89,27905 
2000/5/26,34.89,20146 
2000/5/29,34.89,15020 
2000/5/30,36.21,23836 
2000/5/31,37.65,45867 
2000/6/1,36.69,15916 
2000/6/2,37.17,29134 
2000/6/3,37.65,17808 
2000/6/5,37.89,17308 
2000/6/7,38.61,23755 
2000/6/8,37.65,20401 
2000/6/9,37.89,13283 
2000/6/12,37.65,19452 
2000/6/13,37.17,13998 
2000/6/14,36.93,18838 
2000/6/15,35.97,20194 
2000/6/16,35.97,21826 
2000/6/17,35.85,11620 
2000/6/19,35.49,16644 
2000/6/20,35.61,13224 
2000/6/21,35.25,10905 
2000/6/22,35.73,18616 
2000/6/23,35.01,14558 
2000/6/26,33.93,27432 
2000/6/27,33.93,15822 
2000/6/28,34.53,18815 
2000/6/29,34.17,22487 
2000/6/30,35.01,22512 
2000/7/3,34.41,30095 
2000/7/4,33.81,21260 
2000/7/5,35.73,34591 
2000/7/6,34.77,29218 
2000/7/7,34.05,16693 
2000/7/10,34.41,18866 
2000/7/11,34.53,15134 
2000/7/12,34.41,11864 
2000/7/13,34.77,20212 
2000/7/14,35.01,18256 
2000/7/15,34.89,13737 
2000/7/17,34.41,14790 
2000/7/18,34.05,9419 
2000/7/19,34.05,11672 
2000/7/20,32.37,33739 
2000/7/21,31.17,47350 
2000/7/24,30.33,32073 
2000/7/25,30.09,27098 
2000/7/26,31.17,35849 
2000/7/27,30.93,21839 
2000/7/28,30.57,32269 
2000/7/29,30.69,17558 
2000/7/31,30.45,12942 
2000/8/1,30.21,16098 
2000/8/2,29.97,11535 
2000/8/3,29.25,14725 
2000/8/4,30.09,23273 
2000/8/5,30.21,21937 
2000/8/7,29.49,25658 
2000/8/8,30.09,25507 
2000/8/9,31.17,28519 
2000/8/10,31.89,29662 
2000/8/11,31.41,16133 
2000/8/14,31.17,12551 
2000/8/15,31.29,15549 
2000/8/16,32.37,22476 
2000/8/17,33.09,27216 
2000/8/18,33.45,24951 
2000/8/19,33.21,14583 
2000/8/21,33.09,14459 
2000/8/22,32.85,13589 
2000/8/24,33.45,25072 
2000/8/25,33.69,19556 
2000/8/28,33.09,12025 
2000/8/29,32.85,20392 
2000/8/30,32.37,16166 
2000/8/31,32.25,17177 
2000/9/1,31.17,22627 
2000/9/2,31.89,12236 
2000/9/4,32.01,10959 
2000/9/5,32.13,12830 
2000/9/6,31.41,16489 
2000/9/7,30.09,19594 
2000/9/8,29.85,15510 
2000/9/11,29.73,17154 
2000/9/13,29.73,34218 
2000/9/14,28.77,17053 
2000/9/15,29.37,23835 
2000/9/16,29.13,12932 
2000/9/18,29.01,28184 
2000/9/19,27.1,38742 
2000/9/20,27.58,34697 
2000/9/21,27.46,19715 
2000/9/22,25.54,38288 
2000/9/25,25.54,25774 
2000/9/26,27.22,57279 
2000/9/27,26.62,39454 
2000/9/28,25.54,30978 
2000/9/29,24.94,22123 
2000/9/30,23.98,26652 
2000/10/2,23.62,39885 
2000/10/3,24.7,56019 
2000/10/4,23.86,24245 
2000/10/5,24.7,47638 
2000/10/6,26.38,51705 
2000/10/7,26.62,22263 
2000/10/9,25.78,29317 
2000/10/11,24.94,8340 
2000/10/12,23.26,52818 
2000/10/13,23.14,55330 
2000/10/16,21.94,51176 
2000/10/17,22.54,44201 
2000/10/18,20.98,57667 
2000/10/19,19.54,57450 
2000/10/20,20.86,15339 
2000/10/21,22.3,10399 
2000/10/23,23.86,112865 
2000/10/24,25.42,80821 
2000/10/25,25.78,61307 
2000/10/26,25.3,47067 
2000/10/27,24.46,51145 
2000/10/30,23.62,12596 
