date,price
2018-01-02,18.9
2018-01-03,19.35
2018-01-04,19.3
2018-01-05,19.35
2018-01-08,19.6
2018-01-09,19.6
2018-01-10,19.6
2018-01-11,19.55
2018-01-12,19.5
2018-01-15,19.5
2018-01-16,19.45
2018-01-17,19.5
2018-01-18,19.55
2018-01-19,19.6
2018-01-22,19.6
2018-01-23,19.55
2018-01-24,19.45
2018-01-25,19.5
2018-01-26,19.45
2018-01-29,19.5
2018-01-30,19.3
2018-01-31,19.2
2018-02-01,19.3
2018-02-02,19.3
2018-02-05,19.1
2018-02-06,18.5
2018-02-07,18.65
2018-02-08,18.9
2018-02-09,18.7
2018-02-12,18.8
2018-02-21,19.3
2018-02-22,19.3
2018-02-23,19.3
2018-02-26,19.5
2018-02-27,19.35
2018-03-01,19.4
2018-03-02,19.35
2018-03-05,19.2
2018-03-06,19.35
2018-03-07,19.4
2018-03-08,19.35
2018-03-09,19.4
2018-03-12,19.5
2018-03-13,19.55
2018-03-14,19.45
2018-03-15,19.35
2018-03-16,19.3
2018-03-19,19.6
2018-03-20,19.5
2018-03-21,19.6
2018-03-22,19.6
2018-03-23,19.4
2018-03-26,19.35
2018-03-27,19.45
2018-03-28,19.5
2018-03-29,19.6
2018-03-30,19.5
2018-03-31,19.55
2018-04-02,19.5
2018-04-03,19.45
2018-04-09,19.6
2018-04-10,19.8
2018-04-11,20
2018-04-12,20.1
2018-04-13,20.05
2018-04-16,20.15
2018-04-17,20.05
2018-04-18,20.1
2018-04-19,20.2
2018-04-20,20.35
2018-04-23,20.15
2018-04-24,20.25
2018-04-25,20.25
2018-04-26,20.55
2018-04-27,20.6
2018-04-30,21
2018-05-02,20.85
2018-05-03,20.55
2018-05-04,20.7
2018-05-07,20.7
2018-05-08,20.7
2018-05-09,20.7
2018-05-10,20.8
2018-05-11,20.9
2018-05-14,21.2
2018-05-15,21.15
2018-05-16,21.1
2018-05-17,21.15
2018-05-18,21.15
2018-05-21,21.25
2018-05-22,21.25
2018-05-23,21.15
2018-05-24,21.2
2018-05-25,21.15
2018-05-28,21.25
2018-05-29,21.3
2018-05-30,21
2018-05-31,20.9
2018-06-01,21.1
2018-06-04,21.25
2018-06-05,21.5
2018-06-06,21.8
2018-06-07,21.9
2018-06-08,21.85
2018-06-11,21.9
2018-06-12,21.95
2018-06-13,21.75
2018-06-14,21.4
2018-06-15,21.5
2018-06-19,21.2
2018-06-20,21.2
2018-06-21,21.05
2018-06-22,20.9
2018-06-25,21.15
2018-06-26,21.1
2018-06-27,21
2018-06-28,20.9
2018-06-29,21.25
2018-07-02,21.05
2018-07-03,20.95
2018-07-04,20.9
2018-07-05,20.9
2018-07-06,20.95
2018-07-09,21.05
2018-07-10,21.15
2018-07-11,21.25
2018-07-12,21.65
2018-07-13,21.8
2018-07-16,21.7
2018-07-17,21.7
2018-07-18,21.7
2018-07-19,21.8
2018-07-20,21.9
2018-07-23,22.2
2018-07-24,22.35
2018-07-25,22.45
2018-07-26,21.1
2018-07-27,20.95
2018-07-30,21
2018-07-31,21.35
2018-08-01,21.4
2018-08-02,21.25
2018-08-03,21.3
2018-08-06,21.65
2018-08-07,21.65
2018-08-08,21.95
2018-08-09,21.7
2018-08-10,21.8
2018-08-13,21.6
2018-08-14,21.7
2018-08-15,21.55
2018-08-16,21.8
2018-08-17,21.75
2018-08-20,21.8
2018-08-21,22
2018-08-22,22.25
2018-08-23,22.35
2018-08-24,22.25
2018-08-27,22.25
2018-08-28,22.45
2018-08-29,22.6
2018-08-30,22.45
2018-08-31,22.6
2018-09-03,22.45
2018-09-04,22.45
2018-09-05,22.25
2018-09-06,22
2018-09-07,22.3
2018-09-10,22.3
2018-09-11,22.3
2018-09-12,22.25
2018-09-13,22.4
2018-09-14,22.35
2018-09-17,22.3
2018-09-18,22.4
2018-09-19,22.3
2018-09-20,22.2
2018-09-21,22.65
2018-09-25,22.75
2018-09-26,22.55
2018-09-27,22.5
2018-09-28,22.55
2018-10-01,22.6
2018-10-02,22.45
2018-10-03,22.3
2018-10-04,22.2
2018-10-05,22.05
2018-10-08,22.05
2018-10-09,22.35
2018-10-11,21.6
2018-10-12,21.75
2018-10-15,21.5
2018-10-16,21.25
2018-10-17,21.3
2018-10-18,21.3
2018-10-19,21.2
2018-10-22,20.9
2018-10-23,20.55
2018-10-24,20.4
2018-10-25,19.95
2018-10-26,19.85
2018-10-29,19.6
2018-10-30,19.85
2018-10-31,20.5
2018-11-01,20.35
2018-11-02,20.95
2018-11-05,20.9
2018-11-06,20.95
2018-11-07,21.1
2018-11-08,21.35
2018-11-09,21.2
2018-11-12,21.1
2018-11-13,21.1
2018-11-14,21.25
2018-11-15,21.25
2018-11-16,21.3
2018-11-19,21.15
2018-11-20,21
2018-11-21,20.95
2018-11-22,20.85
2018-11-23,20.75
2018-11-26,20.75
2018-11-27,20.7
2018-11-28,20.75
2018-11-29,20.65
2018-11-30,20.8
2018-12-03,21
2018-12-04,20.9
2018-12-05,20.65
2018-12-06,20.45
2018-12-07,20.35
2018-12-10,20.2
2018-12-11,20.2
2018-12-12,20.45
2018-12-13,20.6
2018-12-14,20.5
2018-12-17,20.4
2018-12-18,20.05
2018-12-19,20.2
2018-12-20,20.05
2018-12-21,20
2018-12-22,20.05
2018-12-24,20.2
2018-12-25,20.05
2018-12-26,20
2018-12-27,20.25
2018-12-28,20.1
2019-01-02,20.1
2019-01-03,20.1
2019-01-04,20.2
2019-01-07,20.3
2019-01-08,20.3
2019-01-09,20.7
2019-01-10,20.9
2019-01-11,21
2019-01-14,21
2019-01-15,21.1
2019-01-16,21
2019-01-17,20.95
2019-01-18,21.2
2019-01-21,21.4
2019-01-22,21.35
