date,price
2018-01-02,138.22
2018-01-03,139.02
2018-01-04,139.55
2018-01-05,140.37
2018-01-08,140.69
2018-01-09,140.95
2018-01-10,140.73
2018-01-11,141.92
2018-01-12,142.75
2018-01-16,142.12
2018-01-17,143.43
2018-01-18,143.18
2018-01-19,143.92
2018-01-22,145.06
2018-01-23,145.42
2018-01-24,145.28
2018-01-25,145.34
2018-01-26,146.86
2018-01-29,145.90
2018-01-30,144.38
2018-01-31,144.43
2018-02-01,144.37
2018-02-02,141.30
2018-02-05,135.74
2018-02-06,137.96
2018-02-07,137.35
2018-02-08,132.41
2018-02-09,134.23
2018-02-12,136.02
2018-02-13,136.45
2018-02-14,138.36
2018-02-15,140.05
2018-02-16,140.11
2018-02-20,139.27
2018-02-21,138.62
2018-02-22,138.71
2018-02-23,140.86
2018-02-26,142.34
2018-02-27,140.55
2018-02-28,139.00
2018-03-01,137.35
2018-03-02,138.24
2018-03-05,139.80
2018-03-06,140.31
2018-03-07,140.43
2018-03-08,140.96
2018-03-09,143.30
2018-03-12,143.22
2018-03-13,142.33
2018-03-14,141.61
2018-03-15,141.42
2018-03-16,141.66
2018-03-19,139.84
2018-03-20,140.05
2018-03-21,139.93
2018-03-22,135.95
2018-03-23,133.10
2018-03-26,136.61
2018-03-27,134.19
2018-03-28,133.88
2018-03-29,135.72
2018-04-02,132.63
2018-04-03,134.28
2018-04-04,135.79
2018-04-05,136.74
2018-04-06,133.87
2018-04-09,134.32
2018-04-10,136.50
2018-04-11,135.87
2018-04-12,136.97
2018-04-13,136.58
2018-04-16,137.72
2018-04-17,139.17
2018-04-18,139.36
2018-04-19,138.60
2018-04-20,137.50
2018-04-23,137.45
2018-04-24,135.80
2018-04-25,135.95
2018-04-26,137.24
2018-04-27,137.33
2018-04-30,136.33
2018-05-01,136.54
2018-05-02,135.75
2018-05-03,135.38
2018-05-04,137.13
2018-05-07,137.73
2018-05-08,137.78
2018-05-09,139.08
2018-05-10,140.29
2018-05-11,140.57
2018-05-14,140.64
2018-05-15,139.79
2018-05-16,140.47
2018-05-17,140.51
2018-05-18,140.51
2018-05-21,141.25
2018-05-22,140.73
2018-05-23,141.10
2018-05-24,140.87
2018-05-25,140.60
2018-05-29,139.21
2018-05-30,141.01
2018-05-31,140.04
2018-06-01,141.50
2018-06-04,142.16
2018-06-05,142.37
2018-06-06,143.63
2018-06-07,143.42
2018-06-08,143.91
2018-06-11,144.12
2018-06-12,144.42
2018-06-13,143.88
2018-06-14,144.29
2018-06-15,144.15
2018-06-18,143.99
2018-06-19,143.51
2018-06-20,143.84
2018-06-21,142.85
2018-06-22,142.45
2018-06-25,140.45
2018-06-26,140.77
2018-06-27,139.46
2018-06-28,140.33
2018-06-29,140.43
2018-07-02,140.77
2018-07-03,140.41
2018-07-05,141.60
2018-07-06,142.79
2018-07-09,144.09
2018-07-10,144.46
2018-07-11,143.43
2018-07-12,144.61
2018-07-13,144.70
2018-07-16,144.47
2018-07-17,145.13
2018-07-18,145.45
2018-07-19,145.10
2018-07-20,144.84
2018-07-23,145.07
2018-07-24,145.39
2018-07-25,146.63
2018-07-26,146.39
2018-07-27,145.22
2018-07-30,144.27
2018-07-31,145.09
2018-08-01,144.92
2018-08-02,145.78
2018-08-03,146.27
2018-08-06,146.93
2018-08-07,147.41
2018-08-08,147.27
2018-08-09,147.17
2018-08-10,146.25
2018-08-13,145.69
2018-08-14,146.65
2018-08-15,145.49
2018-08-16,146.63
2018-08-17,147.17
2018-08-20,147.45
2018-08-21,148.00
2018-08-22,148.05
2018-08-23,147.76
2018-08-24,148.68
2018-08-27,149.75
2018-08-28,149.84
2018-08-29,150.63
2018-08-30,150.01
2018-08-31,150.07
2018-09-04,149.86
2018-09-05,149.37
2018-09-06,148.92
2018-09-07,148.58
2018-09-10,148.90
2018-09-11,149.40
2018-09-12,149.41
2018-09-13,150.16
2018-09-14,150.28
2018-09-17,149.33
2018-09-18,150.13
2018-09-19,150.15
2018-09-20,151.31
2018-09-21,151.16
2018-09-24,150.61
2018-09-25,150.53
2018-09-26,149.95
2018-09-27,150.30
2018-09-28,149.65
2018-10-01,149.88
2018-10-02,149.66
2018-10-03,149.86
2018-10-04,148.59
2018-10-05,147.63
2018-10-08,147.52
2018-10-09,147.26
2018-10-10,142.57
2018-10-11,139.53
2018-10-12,141.37
2018-10-15,140.74
2018-10-16,143.84
2018-10-17,143.80
2018-10-18,141.72
2018-10-19,141.35
2018-10-22,140.79
2018-10-23,139.96
2018-10-24,135.61
2018-10-25,138.16
2018-10-26,135.77
2018-10-29,135.02
2018-10-30,137.13
2018-10-31,138.56
2018-11-01,140.13
2018-11-02,139.56
2018-11-05,140.24
2018-11-06,141.04
2018-11-07,143.92
2018-11-08,143.64
2018-11-09,142.17
2018-11-12,139.44
2018-11-13,139.24
2018-11-14,138.22
2018-11-15,139.78
2018-11-16,140.08
2018-11-19,137.65
2018-11-20,135.20
2018-11-21,135.86
2018-11-23,135.13
2018-11-26,137.23
2018-11-27,137.40
2018-11-28,140.60
2018-11-29,140.34
2018-11-30,141.35
2018-12-03,143.00
2018-12-04,138.33
2018-12-06,138.16
2018-12-07,134.90
2018-12-10,135.05
2018-12-11,135.02
2018-12-12,135.79
2018-12-13,135.46
2018-12-14,133.12
2018-12-17,130.28
2018-12-18,130.24
2018-12-19,128.24
2018-12-20,126.17
2018-12-21,123.49
2018-12-24,119.70
2018-12-26,125.46
2018-12-27,126.59
2018-12-28,126.43
2018-12-31,127.63
2019-01-02,127.73
2019-01-03,124.77
2019-01-04,128.90
2019-01-07,130.20
2019-01-08,131.54
2019-01-09,132.16
2019-01-10,132.81
2019-01-11,132.84
2019-01-14,132.00
2019-01-15,133.44
2019-01-16,133.82
2019-01-17,134.90
2019-01-18,136.65
2019-01-22,134.78
2019-01-23,134.92
2019-01-24,135.20
2019-01-25,136.47
2019-01-28,135.47
2019-01-29,135.28
2019-01-30,137.32
2019-01-31,138.53
2019-02-01,138.73
2019-02-04,139.72
2019-02-05,140.30
2019-02-06,140.16
2019-02-07,138.83
2019-02-08,138.97
2019-02-11,139.26
2019-02-12,141.00
2019-02-13,141.44
2019-02-14,141.19
2019-02-15,142.74
2019-02-19,143.02
2019-02-20,143.32
2019-02-21,142.83
2019-02-22,143.77
2019-02-25,143.98
2019-02-26,143.71
2019-02-27,143.76
2019-02-28,143.46
2019-03-01,144.42
2019-03-04,143.75
2019-03-05,143.48
2019-03-06,142.39
2019-03-07,141.28
2019-03-08,140.99
2019-03-11,143.06
2019-03-12,143.54
2019-03-13,144.46
2019-03-14,144.34
